name,code
ACEH,11
SUMATERA UTARA,12
SUMATERA BARAT,13
RIAU,14
JAMBI,15
SUMATERA SELATAN,16
BENGKULU,17
LAMPUNG,18
KEPULAUAN BANGKA BELITUNG,19
KEPULAUAN RIAU,21
DAERAH KHUSUS IBUKOTA JAKARTA,31
JAWA BARAT,32
JAWA TENGAH,33
DAERAH ISTIMEWA YOGYAKARTA,34
JAWA TIMUR,35
BANTEN,36
BALI,51
NUSA TENGGARA BARAT,52
NUSA TENGGARA TIMUR,53
KALIMANTAN BARAT,61
KALIMANTAN TENGAH,62
KALIMANTAN SELATAN,63
KALIMANTAN TIMUR,64
KALIMANTAN UTARA,65
SULAWESI UTARA,71
SULAWESI TENGAH,72
SULAWESI SELATAN,73
SULAWESI TENGGARA,74
GORONTALO,75
SULAWESI BARAT,76
MALUKU,81
MALUKU UTARA,82
PAPUA,91
PAPUA BARAT,92
